Malay,English
saya,I
yang,which
aku,me
dia,he
awak,you
kau,you
ini,these
di,at
tak,not
dan,and
akan,shall
tidak,no
kita,us
apa,what
kamu,you
itu,that
untuk,for
ada,available
boleh,can
mereka,their
dengan,by
anda,you
tahu,know
ke,to
kami,we
ya,yes
dari,from
dalam,in
sini,here
semua,all
tapi,but
pergi,leave
orang,people
adalah,is
nak,Need
ia,it
jadi,therefore
sekarang,now
lagi,else
pada,on
jangan,no
dah,dah
bukan,not
buat,make
sudah,already
seperti,like
jika,if
baik,good
perlu,need
mana,where
satu,one
telah,already
hanya,only
lebih,more
datang,comes
oh,oh
mungkin,possible
saja,just
kenapa,why
ayah,dad
sangat,considerably
siapa,who
mahu,want
bagaimana,how
seorang,single
hari,day
dapat,can
juga,also
terima,accept
rasa,feel
kasih,love
masa,time
kalau,if
ni,this
lakukan,do
tuan,sir
pernah,ever
tu,that
atau,or
sesuatu,something
mari,come
sana,there
kepada,to
masih,still
mati,die
adakah,do
tiada,no
kerana,because
baiklah,Well well
menjadi,become
banyak,considerable
cakap,say
betul,proper
keluar,exit
tentang,about
lain,others
begitu,thus
dengar,hear
tempat,place
beritahu,inform
selamat,secure
bagus,good
macam,like
lihat,see
harus,should
anak,child
hei,hey
hidup,vivid
maaf,sorry
diri,self
kembali,return
ingin,ay
lelaki,male
malam,night
baru,new
tunggu,wait
melihat,see
cepat,fast
pun,even
tolong,help
sedang,Call
rumah,house
kan,right
masuk,enter
nampak,perceive
cuma,simply
tahun,year
berada,be
suka,love
tetapi,but
berlaku,happen
kata,adverb
sama,identical
kawan,friend
fikir,think
okey,okay
cuba,try
pasti,definite
sendiri,own
mempunyai,have
takkan,will
jumpa,see
atas,above
dua,two
tuhan,God
daripada,than
masalah,problem
lama,old
salah,incorrect
faham,comprehend